Course Name,Department Course ID,Description,Section Name,Section Type,Registration Number,Instructors,Campus,Location
Partial Diff Equations,263,"Many laws of physics are formulated as partial differential equations. This course discusses the simplest examples of such laws as embodied in the wave equation, the diffusion equation, and Laplace?s equation. Nonlinear conservation laws and the theory of shock waves. Applications to physics, chemistry, biology, and population dynamics.",,Lecture,22005,"McLaughlin, David",Brooklyn Campus,RGSH 203
Honors Ordinary Differential Equations,268,"This class will develop rigorously the basic theory of Ordinary Differential Equations (ODEs). Existence and uniqueness of solutions to ODEs are first investigated, for linear and nonlinear problems, set on the real line or the complex plane. More qualitative questions are then considered, about the behavior of the solutions, with possible prolongations to various topics in Dynamical Systems theory. Applications to Physics and Biology will appear naturally when discussing examples.",,Lecture,10319,"Bakhtin, Yuri",Washington Square,CIWW 102
Analysis,325,"This course is an introduction to rigorous analysis on the real line. Topics include: the real number system, sequences and series of numbers, functions of a real variable (continuity and differentiability), the Riemann integral, basic topological notions in a metric space, sequences and series of functions including Taylor and Fourier series.",,Lecture,8132,"Cao, Norman",Washington Square,CIWW 109
Analysis,325,"This course is an introduction to rigorous analysis on the real line. Topics include: the real number system, sequences and series of numbers, functions of a real variable (continuity and differentiability), the Riemann integral, basic topological notions in a metric space, sequences and series of functions including Taylor and Fourier series.",,Lecture,8135,"Ampatzoglou, Joakeim",Washington Square,CIWW 109
Analysis,325,"This course is an introduction to rigorous analysis on the real line. Topics include: the real number system, sequences and series of numbers, functions of a real variable (continuity and differentiability), the Riemann integral, basic topological notions in a metric space, sequences and series of functions including Taylor and Fourier series.",,Lecture,9342,"De Philippis, Guido",Washington Square,CIWW 109
Honors Analysis I,328,"This is an introduction to the rigorous treatment of the foundations of real analysis in one variable. It is based entirely on proofs. Students are expected to know what a mathematical proof is and are also expected to be able to read a proof before taking this class. Topics include: properties of the real number system, sequences, continuous functions, topology of the real line, compactness, derivatives, the Riemann integral, sequences of functions, uniform convergence, infinite series and Fourier series. Additional topics may include: Lebesgue measure and integral on the real line, metric spaces, and analysis on metric spaces. ",,Lecture,8744,"Ben Arous, Gerard",Washington Square,CIWW 101
Algebra,343,"Introduction to abstract algebraic structures, including groups, rings, and fields. Sets and relations. Congruences and unique factorization of integers. Groups, permutation groups, homomorphisms and quotient groups. Rings and quotient rings, Euclidean rings, polynomial rings. Fields, finite extensions.",,Lecture,8136,"Chiarelli, John",Washington Square,CIWW 1302
Algebra,343,"Introduction to abstract algebraic structures, including groups, rings, and fields. Sets and relations. Congruences and unique factorization of integers. Groups, permutation groups, homomorphisms and quotient groups. Rings and quotient rings, Euclidean rings, polynomial rings. Fields, finite extensions.",,Lecture,8138,"Pang, Liming",Washington Square,CIWW 101
Algebra,343,"Introduction to abstract algebraic structures, including groups, rings, and fields. Sets and relations. Congruences and unique factorization of integers. Groups, permutation groups, homomorphisms and quotient groups. Rings and quotient rings, Euclidean rings, polynomial rings. Fields, finite extensions.",,Lecture,8984,"Hang, Fengbo",Washington Square,CIWW 312
Honors Algebra I,348,"Introduction to abstract algebraic structures, including groups, rings, and fields. Sets and relations. Congruences and unique factorization of integers. Groups, permutation groups, group actions, homomorphisms and quotient groups, direct products, classification of finitely generated abelian groups, Sylow theorems. Rings, ideals and quotient rings, Euclidean rings, polynomial rings, unique factorization.",,Lecture,8743,"Cappell, Sylvain",Washington Square,CIWW 102
Honors I Fourier Analysis and Applications,393,,Topic: Fourier Analysis and Applications,Lecture,19806,"Shatah, Jalal",Washington Square,CIWW 201
"Special Topics Modeling and Simulation in Sci, Eng, and Econ",395,Lecture-seminar course on advanced topics selected by the instructor. Topics vary yearly. Detailed course descriptions are available during preregistration.Covers topics not offered regularly: experimental courses and courses offered on student demand.,"Topic: Modeling and Simulation in Sci, Eng, and Econ",Lecture,9337,"Peskin, Charles",Washington Square,CIWW 312
Independent Study,997,"Prerequisite: permission of the department. 2 or 4 points per term. To register for this course, a student must complete an application form for independent study and have it approved by a faculty sponsor and the director of undergraduate studies.",,Independent Study,8140,Staff,Washington Square,
Independent Study,997,"Prerequisite: permission of the department. 2 or 4 points per term. To register for this course, a student must complete an application form for independent study and have it approved by a faculty sponsor and the director of undergraduate studies.",,Independent Study,8443,Staff,Washington Square,
"Algebra, Trigonometry, and Functions",9009,"Prerequisite: Three years of high school math or permission of the department. An intensive course in intermediate algebra and trigonometry. Topics include algebraic, exponential, logarithmic, and trigonometric functions and their graphs.",,Lecture,22312,"Kosmopoulos, Kosmas",NYU London (Global),BDFS 201
Calculus I,9121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing,maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,22313,"Roberts, Mark",NYU London (Global),BDFS 102
Mathematics for Economics I,9131,This course is only open to Economics Majors and prospective majors. If an Economics Major decides to double or joint major in Math these courses will replace Calculus I - III. Elements of calculus and linear algebra are important to the study of economics. This class is designed to provide the appropriate tools for study in the policy concentration. Examples and motivation are drawn from important topics in economics. Topics covered include derivatives of functions of one and several variables; interpretations of the derivatives; convexity; constrained and unconstrained optimization.,,Lecture,22879,"Hubbert, Simon",NYU London (Global),BDFS G04
Linear Algebra,9140,"This is an introductory course on linear algebra, one of the most important and basic areas of mathematics, with many real-life applications. The course introduces students to both the theory of vector spaces and linear transformations and the techniques such as row-reduction of matrices and diagonalisation, which can be applied to problems in areas such as engineering, economics, and mathematical biology. As well as mastering techniques, it is important that the students get to grips with the more abstract ideas of linear algebra, and learn to understand and write correct mathematical arguments. Taking an active approach to problem-solving is also important. ",,Lecture,22404,Staff,NYU Paris (Global),
Linear Algebra,9140,"This is an introductory course on linear algebra, one of the most important and basic areas of mathematics, with many real-life applications. The course introduces students to both the theory of vector spaces and linear transformations and the techniques such as row-reduction of matrices and diagonalisation, which can be applied to problems in areas such as engineering, economics, and mathematical biology. As well as mastering techniques, it is important that the students get to grips with the more abstract ideas of linear algebra, and learn to understand and write correct mathematical arguments. Taking an active approach to problem-solving is also important. ",,Lecture,22314,"Roberts, Mark",NYU London (Global),BDFS G05
Linear Algebra,9140,"This is an introductory course on linear algebra, one of the most important and basic areas of mathematics, with many real-life applications. The course introduces students to both the theory of vector spaces and linear transformations and the techniques such as row-reduction of matrices and diagonalisation, which can be applied to problems in areas such as engineering, economics, and mathematical biology. As well as mastering techniques, it is important that the students get to grips with the more abstract ideas of linear algebra, and learn to understand and write correct mathematical arguments. Taking an active approach to problem-solving is also important. ",,Lecture,23188,"Lebovits, Joachim",NYU Paris (Global),PARI 608
Numerical Analysis,9252,,,Lecture,22403,Staff,NYU Paris (Global),
Numerical Analysis,9252,,,Lecture,23186,"Vaes, Urbain",NYU Paris (Global),PARI 406
Functions of a Complex Variable,9282,"Complex numbers and complex functions. Differentiation and the Cauchy-Riemann equations. Cauchy?s theorem and the Cauchy integral formula. Singularities, residues, Taylor and Laurent series. Fractional linear transformations and conformal mapping. Analytic continuation.",,Lecture,22405,Staff,NYU Paris (Global),
Functions of a Complex Variable,9282,"Complex numbers and complex functions. Differentiation and the Cauchy-Riemann equations. Cauchy?s theorem and the Cauchy integral formula. Singularities, residues, Taylor and Laurent series. Fractional linear transformations and conformal mapping. Analytic continuation.",,Lecture,23184,"Lebovits, Joachim",NYU Paris (Global),ONLI
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,7441,"Steigman, Amanda",Washington Square,12WV L120
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,7442,"Liao, Susan",Washington Square,12WV L120
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,7443,"Kapp, Craig, Bhat, Atharv, Malepati, Sachin, Krishnakumar, Muthukrishna",Washington Square,MEYR 121
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,9116,"Lizardo, Julie",Washington Square,BOBS LL138
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,7444,"Robert, Zoe",Washington Square,25W4 C-20
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,7445,"Prager, David",Washington Square,KIMM 803
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,7446,"Lizardo, Julie",Washington Square,BOBS LL138
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,8556,"Zeidenberg, Matthew",Washington Square,ONLI
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,8558,"Clayton, Joshua, Herwin, Matahari",Washington Square,ONLI
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,8730,"Liew, Khye Borg",Washington Square,ONLI
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,9559,"Zhao, Emily",Washington Square,GCASL 361
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,8882,"Cardona, Michell",Washington Square,TISC LC11
Introduction to Computer Programming (No Prior Experience),2,"Prerequisite: Three years of high school mathematics or equivalent. No prior computer experience assumed. Students with any programming experience should consult with the computer science department before registering. Students who have taken or are taking CSCI-UA 101 will not receive credit for this course. Note: This course is not intended for computer science majors, although it is a prerequisite for students with no previous programming experience who want to continue in CSCI-UA 101. Offered every semester. 4 points. An introduction to the fundamentals of computer programming, which is the foundation of Computer Science. Students design, write and debug computer programs. No knowledge of programming is assumed. ",,Lecture,25468,"Patil, Mihir",Washington Square,CIWW 317
Introduction to Computer Programming (Limited Prior Experience),3,"This course introduces object-oriented programming, recursion, and other important programming concepts to students who already have had some exposure to programming in the context of building applications using Python. Students will design and implement Python programs in a variety of applied areas.",,Lecture,9289,"Arias Hernandez, Mauricio",Washington Square,ONLI
Introduction to Web Design and Computer Principles,4,"Prerequisite: Three years of high school mathematics or equivalent. No prior computing experience is assumed. Students with computing experience should consult with the computer science department before registering. Offered every semester. 4 points. This course introduces students to both the practice of web design and the basic principles of computer science. The practice component of the course covers not only web design but also current graphics and software tools. The principles section includes an overview of hardware and software, the history of computers, and a discussion of the impact of computers and the internet. ",,Lecture,8659,"Olsen, Al",Washington Square,BOBS LL150
Introduction to Web Design and Computer Principles,4,"Prerequisite: Three years of high school mathematics or equivalent. No prior computing experience is assumed. Students with computing experience should consult with the computer science department before registering. Offered every semester. 4 points. This course introduces students to both the practice of web design and the basic principles of computer science. The practice component of the course covers not only web design but also current graphics and software tools. The principles section includes an overview of hardware and software, the history of computers, and a discussion of the impact of computers and the internet. ",,Lecture,7447,"Scher, Adam",Washington Square,ONLI
Introduction to Web Design and Computer Principles,4,"Prerequisite: Three years of high school mathematics or equivalent. No prior computing experience is assumed. Students with computing experience should consult with the computer science department before registering. Offered every semester. 4 points. This course introduces students to both the practice of web design and the basic principles of computer science. The practice component of the course covers not only web design but also current graphics and software tools. The principles section includes an overview of hardware and software, the history of computers, and a discussion of the impact of computers and the internet. ",,Lecture,7448,"Ramos, Mark",Washington Square,CIWW 102
Introduction to Web Design and Computer Principles,4,"Prerequisite: Three years of high school mathematics or equivalent. No prior computing experience is assumed. Students with computing experience should consult with the computer science department before registering. Offered every semester. 4 points. This course introduces students to both the practice of web design and the basic principles of computer science. The practice component of the course covers not only web design but also current graphics and software tools. The principles section includes an overview of hardware and software, the history of computers, and a discussion of the impact of computers and the internet. ",,Lecture,7449,"Clayton, Joshua",Washington Square,CIWW 317
Introduction to Web Design and Computer Principles,4,"Prerequisite: Three years of high school mathematics or equivalent. No prior computing experience is assumed. Students with computing experience should consult with the computer science department before registering. Offered every semester. 4 points. This course introduces students to both the practice of web design and the basic principles of computer science. The practice component of the course covers not only web design but also current graphics and software tools. The principles section includes an overview of hardware and software, the history of computers, and a discussion of the impact of computers and the internet. ",,Lecture,8436,"Lizardo, Julie",Washington Square,GCASL 279
Introduction to Web Design and Computer Principles,4,"Prerequisite: Three years of high school mathematics or equivalent. No prior computing experience is assumed. Students with computing experience should consult with the computer science department before registering. Offered every semester. 4 points. This course introduces students to both the practice of web design and the basic principles of computer science. The practice component of the course covers not only web design but also current graphics and software tools. The principles section includes an overview of hardware and software, the history of computers, and a discussion of the impact of computers and the internet. ",,Lecture,8557,"Olsen, Al",Washington Square,SILV 208
Database Design and Implementation,60,"Students that have successfully completed CSCI-UA 479 Data Management and Analysis are not eligible to take CSCI-UA 60 Database Design and Implementation. Introduces principles and applications of database design and working with data. Students use python as they prepare, analyze and work with data; SQL to study the principles and implementations of relational databases; and are introduced to other database paradigms such as NoSQL. Students apply these principles to computer systems in general and in their respective fields of interest.",,Lecture,8576,"Bloomberg, Amos, Prasoon, Prasoon",Washington Square,5WP 101
Web Development and Programming,61,"Students that have successfully completed CSCI-UA 467 Applied Internet Technology are not eligible to take CSCI-UA 61 Web Development and Programming. This course will provide a practical approach to web technologies and programming. Students will build interactive, secure and powerful web programs. This course will cover client and server side technologies for the web.",,Lecture,7450,"Odeh, Sana",Washington Square,SILV 408
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,7451,"Nassar, Nader",Washington Square,SILV 208
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,9887,"Kayar, Gizem",Washington Square,ONLI
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,19940,"Locklear, Hilbert",Washington Square,25W4 C-20
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,7452,"Cabo, Candido",Washington Square,TISC LC11
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,8460,"Ataman, Duygu",Washington Square,ONLI
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,9886,"Odeh, Sana",Washington Square,KIMM 803
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,8661,"Locklear, Hilbert",Washington Square,SILV 401
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,8958,"Bari, Anasse, Davidson, Christopher, Goel, Anmol",Washington Square,CANT 101
Intro to Computer Science,101,"Students learn how to design algorithms to solve problems and how to translate these algorithms into working computer programs. Experience is acquired through programming projects in a high level programming language. CSCI-UA 101 is intended as a first course for computer science majors, and for students of other scientific disciplines. Programming assignments.",,Lecture,23231,"Odeh, Sana",Washington Square,ONLI
Data Structures,102,"The use and design of data structures, which organize information in computer memory. Stacks, queues, linked lists, binary trees: how to implement them in a high level language, how to analyze their effect on algorithm efficiency, and how to modify them. Programming assignments.",,Lecture,7454,"Korth, Evan",Washington Square,TISC UC50
Data Structures,102,"The use and design of data structures, which organize information in computer memory. Stacks, queues, linked lists, binary trees: how to implement them in a high level language, how to analyze their effect on algorithm efficiency, and how to modify them. Programming assignments.",,Lecture,7456,"Bari, Anasse",Washington Square,ONLI
Data Structures,102,"The use and design of data structures, which organize information in computer memory. Stacks, queues, linked lists, binary trees: how to implement them in a high level language, how to analyze their effect on algorithm efficiency, and how to modify them. Programming assignments.",,Lecture,9133,"Klukowska, Joanna, Khatri, Riju, Suresh, Surekha",Washington Square,CANT 200
Computer Systems Org,201,"This course covers the internal structure of computers, machine (assembly) language programming, and the use of pointers in high-level languages. Topics include the logical design of computers, computer architecture, the internal representation of data, instruction sets, and addressing logic, as well as pointers, structures, and other features of high-level languages that relate to assembly language. Programming assignments will be both in assembly language and other languages.",,Lecture,7457,"Moody, Douglas",Washington Square,ONLI
Computer Systems Org,201,"This course covers the internal structure of computers, machine (assembly) language programming, and the use of pointers in high-level languages. Topics include the logical design of computers, computer architecture, the internal representation of data, instruction sets, and addressing logic, as well as pointers, structures, and other features of high-level languages that relate to assembly language. Programming assignments will be both in assembly language and other languages.",,Lecture,8575,"Li, Jinyang",Washington Square,ONLI
Computer Systems Org,201,"This course covers the internal structure of computers, machine (assembly) language programming, and the use of pointers in high-level languages. Topics include the logical design of computers, computer architecture, the internal representation of data, instruction sets, and addressing logic, as well as pointers, structures, and other features of high-level languages that relate to assembly language. Programming assignments will be both in assembly language and other languages.",,Lecture,8902,"Aljabbouli, Hasan, Kapoor, Somya",Washington Square,CANT 101
Computer Systems Org,201,"This course covers the internal structure of computers, machine (assembly) language programming, and the use of pointers in high-level languages. Topics include the logical design of computers, computer architecture, the internal representation of data, instruction sets, and addressing logic, as well as pointers, structures, and other features of high-level languages that relate to assembly language. Programming assignments will be both in assembly language and other languages.",,Lecture,23230,"Kayar, Gizem",Washington Square,ONLI
Operating Systems,202,"This course covers the principles and design of operating systems. Topics include process scheduling and synchronization, deadlocks, memory management including virtual memory, input-output and file systems. Programming assignments.",,Lecture,7459,"Tang, Yang, Changwani, Ashay, Zheng, Tingting",Washington Square,ONLI
Operating Systems,202,"This course covers the principles and design of operating systems. Topics include process scheduling and synchronization, deadlocks, memory management including virtual memory, input-output and file systems. Programming assignments.",,Lecture,9053,"Zahran, Mohamed, Balaji, Maya, Sinha, Shiv",Washington Square,ONLI
Basic Algorithms,310,"Prerequisites: Data Structures (CSCI-UA 102); Discrete Mathematics (MATH-UA 120); and either Calculus I (MATH-UA 121) OR Math for Economics I (MATH-UA 211). An introduction to the study of algorithms. Two main themes are presented: designing appropriate data structures, and analyzing the efficiency of the algorithms which use them. Algorithms for basic problems are studied. These include sorting, searching, graph algorithms and maintaining dynamic data structures. Homework assignments, not necessarily involving programming.",,Lecture,7460,"Ball, Marshall, Hall, Peter, Goldin, Eli",Washington Square,CANT 101
Basic Algorithms,310,"Prerequisites: Data Structures (CSCI-UA 102); Discrete Mathematics (MATH-UA 120); and either Calculus I (MATH-UA 121) OR Math for Economics I (MATH-UA 211). An introduction to the study of algorithms. Two main themes are presented: designing appropriate data structures, and analyzing the efficiency of the algorithms which use them. Algorithms for basic problems are studied. These include sorting, searching, graph algorithms and maintaining dynamic data structures. Homework assignments, not necessarily involving programming.",,Lecture,9052,"Regev, Oded, Song, Min Jae",Washington Square,CANT 101
Basic Algorithms,310,"Prerequisites: Data Structures (CSCI-UA 102); Discrete Mathematics (MATH-UA 120); and either Calculus I (MATH-UA 121) OR Math for Economics I (MATH-UA 211). An introduction to the study of algorithms. Two main themes are presented: designing appropriate data structures, and analyzing the efficiency of the algorithms which use them. Algorithms for basic problems are studied. These include sorting, searching, graph algorithms and maintaining dynamic data structures. Homework assignments, not necessarily involving programming.",,Lecture,25048,"Mojarrad, Hossein",Washington Square,ONLI
Topics of General Interest: Interactive Computing,380,Detailed descriptions will be available when topics are announced. Typical offerings are Introduction to Multimedia; Database and Web Programming; Interface Design for the World Wide Web. Note: These courses cannot be used as credit towards the major sequence.,Topic: Interactive Computing,Lecture,7462,"Kapp, Craig",Washington Square,CIWW 102
Programming Tools for the Data Scientist,381,"This course focuses on building applications in Python using a project-based learning approach. Students will design projects using important Python packages in a variety of applied areas such as textual analysis, data visualization, and others.",,Lecture,9893,"Aljabbouli, Hasan",Washington Square,SILV 208
Applied Internet Technology,467,"Students that successfully complete CSCI-UA 467 Applied Internet Technology are not eligible to take CSCI-UA 61 Web Development and Programming. Applied Internet Technology is a practical introduction to creating modern web applications. It covers full-stack (that is, every aspect of building a database driven web application: server programming, database implementation, frontend markup, styling and interactivity) web development. It includes topics such as database and data model design, web application architecture, separation of logic and presentation, handling user input and processing form data, managing asynchronous processes, strategies for creating real-time web applications, and handling client-side interactivity. Students will use current server and client-side web frameworks and libraries to build dynamic, data-driven sites. Various applications to support development will also be introduced, such as version control, static analysis tools, and build systems. ",,Lecture,9894,"Versoza, Joseph, Wu, Haodong",Washington Square,ONLI
Applied Internet Technology,467,"Students that successfully complete CSCI-UA 467 Applied Internet Technology are not eligible to take CSCI-UA 61 Web Development and Programming. Applied Internet Technology is a practical introduction to creating modern web applications. It covers full-stack (that is, every aspect of building a database driven web application: server programming, database implementation, frontend markup, styling and interactivity) web development. It includes topics such as database and data model design, web application architecture, separation of logic and presentation, handling user input and processing form data, managing asynchronous processes, strategies for creating real-time web applications, and handling client-side interactivity. Students will use current server and client-side web frameworks and libraries to build dynamic, data-driven sites. Various applications to support development will also be introduced, such as version control, static analysis tools, and build systems. ",,Lecture,19941,"Versoza, Joseph, Ahmed, Sameer",Washington Square,SILV 208
Object Oriented Programming,470,"Object-oriented programming has emerged as a significant software development methodology. This course introduces the important concepts of object-oriented design and languages, including code reuse, data abstraction, inheritance, and dynamic overloading. It covers in depth those features of Java and C++ that support object-oriented programming and gives an overview of other object-oriented languages of interest. Significant programming assignments, stressing object-oriented design.",,Lecture,9891,"Aljabbouli, Hasan",Washington Square,SILV 206
Artificial Intelligence,472,"Prerequisite: V22.0201 and V22.0310. There are many cognitive tasks that people can do easily and almost unconsciously but that have proven extremely difficult to program on a computer. Artificial intelligence is the problem of developing computer systems that can carry out these tasks. We will focus on three central areas in AI: representation and reasoning, machine learning, and natural language processing.",,Lecture,22829,"Davis, Ernest",Washington Square,CIWW 102
Fundamentals of Machine Learning | Introduction to Machine Learning,473,"Students will learn about the theoretical foundations of machine learning and how to apply machine learning to solve new problems. Machine learning is an exciting and fast-moving field at the intersection of computer science, statistics, and optimization, with many consumer applications such as machine translation, speech recognition, and recommendation. Machine learning also plays an increasingly central role in data science, enabling discoveries in fields such as biology, physics, neuroscience, and medicine. In the first part of the course, students will learn about supervised prediction methods including linear and logistic regression, support vector machines, ensemble methods, and decision trees. In the second part of the course, students will learn about methods for clustering, dimensionality reduction, and statistical inference. ",,Lecture,10346,"Pinto, Lerrel, Haldar, Siddhant",Washington Square,ONLI
